year,month,positive,neutral,negative,exception
2013,4,0.0,0.0,0.0,0.0
2013,5,0.0,0.0,0.0,0.0
2013,6,0.0,0.0,0.0,0.0
2013,7,0.0,0.0,0.0,0.0
2013,8,0.0,0.0,0.0,0.0
2013,9,0.0,0.0,0.0,0.0
2013,10,0.0,0.0,0.0,0.0
2013,11,0.0,0.0,0.0,0.0
2013,12,0.0,0.0,0.0,0.0
2014,1,0.0,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0
2014,3,0.0,0.0,0.0,0.0
2014,4,0.0,0.0,0.0,0.0
2014,5,0.0,0.0,0.0,0.0
2014,6,0.0,0.0,0.0,0.0
2014,7,0.0,0.0,0.0,0.0
2014,8,0.0,0.0,0.0,0.0
2014,9,0.0,0.0,0.0,0.0
2014,10,0.0,0.0,0.0,0.0
2014,11,0.0,0.0,0.0,0.0
2014,12,0.0,0.0,0.0,0.0
2015,1,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,0.0,0.0
2015,3,0.0,0.0,0.0,0.0
2015,4,0.0,0.0,0.0,0.0
2015,5,0.0,0.0,0.0,0.0
2015,6,0.0,0.0,0.0,0.0
2015,7,0.0,0.0,0.0,0.0
2015,8,0.0,0.0,0.0,0.0
2015,9,0.0,0.0,0.0,0.0
2015,10,0.0,0.0,0.0,0.0
2015,11,0.0,0.0,0.0,0.0
2015,12,0.0,0.0,0.0,0.0
2016,1,0.0,0.0,0.0,0.0
2016,2,0.0,0.0,0.0,0.0
2016,3,0.0,0.0,0.0,0.0
2016,4,0.0,0.0,0.0,0.0
2016,5,0.0,0.0,0.0,0.0
2016,6,0.0,0.0,0.0,0.0
2016,7,0.0,0.0,0.0,0.0
2016,8,0.0,0.0,0.0,0.0
2016,9,0.0,0.0,0.0,0.0
2016,10,0.0,0.0,0.0,0.0
2016,11,0.0,0.0,0.0,0.0
2016,12,0.0,0.0,0.0,0.0
2017,1,0.0,0.0,0.0,0.0
2017,2,0.0,0.0,0.0,0.0
2017,3,0.0,0.0,0.0,0.0
2017,4,0.0,0.0,0.0,0.0
2017,5,0.0,0.0,0.0,0.0
2017,6,0.0,0.0,0.0,0.0
2017,7,0.0,0.0,0.0,0.0
2017,8,48.0,49.0,51.0,6.0
2017,9,161.0,155.0,163.0,13.0
2017,10,216.0,150.0,184.0,11.0
2017,11,144.0,162.0,170.0,17.0
2017,12,140.0,144.0,182.0,16.0
2018,1,162.0,192.0,204.0,16.0
2018,2,161.0,162.0,171.0,11.0
2018,3,171.0,181.0,187.0,16.0
2018,4,158.0,160.0,186.0,14.0
2018,5,165.0,164.0,183.0,19.0
2018,6,178.0,160.0,186.0,16.0
2018,7,166.0,171.0,155.0,15.0
2018,8,172.0,158.0,176.0,10.0
2018,9,162.0,155.0,163.0,12.0
2018,10,196.0,188.0,166.0,15.0
2018,11,205.0,150.0,163.0,12.0
2018,12,120.0,140.0,182.0,17.0
2019,1,131.0,175.0,174.0,17.0
2019,2,155.0,146.0,152.0,12.0
2019,3,137.0,139.0,225.0,14.0
2019,4,42.0,61.0,67.0,3.0
2019,5,0.0,0.0,0.0,0.0
2019,6,0.0,0.0,0.0,0.0
2019,7,0.0,0.0,0.0,0.0
2019,8,0.0,0.0,0.0,0.0
2019,9,0.0,0.0,0.0,0.0
2019,10,0.0,0.0,0.0,0.0
2019,11,0.0,0.0,0.0,0.0
2019,12,0.0,0.0,0.0,0.0
2020,1,0.0,0.0,0.0,0.0
2020,2,0.0,0.0,0.0,0.0
2020,3,0.0,0.0,0.0,0.0
2020,4,0.0,0.0,0.0,0.0
2020,5,0.0,0.0,0.0,0.0
2020,6,0.0,0.0,0.0,0.0
2020,7,0.0,0.0,0.0,0.0
2020,8,0.0,0.0,0.0,0.0
2020,9,0.0,0.0,0.0,0.0
2020,10,0.0,0.0,0.0,0.0
2020,11,0.0,0.0,0.0,0.0
2020,12,0.0,0.0,0.0,0.0
2021,1,0.0,0.0,0.0,0.0
2021,2,0.0,0.0,0.0,0.0
2021,3,0.0,0.0,0.0,0.0
2021,4,0.0,0.0,0.0,0.0
2021,5,0.0,0.0,0.0,0.0
2021,6,0.0,0.0,0.0,0.0
2021,7,0.0,0.0,0.0,0.0
2021,8,0.0,0.0,0.0,0.0
2021,9,0.0,0.0,0.0,0.0
