year,month,positive,neutral,negative,exception
2013,4,0.0,0.0,0.0,0.0
2013,5,0.0,0.0,0.0,0.0
2013,6,0.0,0.0,0.0,0.0
2013,7,0.0,0.0,0.0,0.0
2013,8,0.0,0.0,0.0,0.0
2013,9,0.0,0.0,0.0,0.0
2013,10,0.0,0.0,0.0,0.0
2013,11,0.0,0.0,0.0,0.0
2013,12,0.0,0.0,0.0,0.0
2014,1,0.0,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0
2014,3,0.0,0.0,0.0,0.0
2014,4,0.0,0.0,0.0,0.0
2014,5,0.0,0.0,0.0,0.0
2014,6,0.0,0.0,0.0,0.0
2014,7,0.0,0.0,0.0,0.0
2014,8,0.0,0.0,0.0,0.0
2014,9,0.0,0.0,0.0,0.0
2014,10,0.0,0.0,0.0,0.0
2014,11,0.0,0.0,0.0,0.0
2014,12,0.0,0.0,0.0,0.0
2015,1,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,0.0,0.0
2015,3,0.0,0.0,0.0,0.0
2015,4,0.0,0.0,0.0,0.0
2015,5,0.0,0.0,0.0,0.0
2015,6,1.0,3.0,3.0,1.0
2015,7,4.0,3.0,2.0,1.0
2015,8,0.0,0.0,0.0,0.0
2015,9,0.0,0.0,0.0,0.0
2015,10,0.0,0.0,0.0,0.0
2015,11,0.0,0.0,0.0,0.0
2015,12,15.0,12.0,14.0,1.0
2016,1,153.0,224.0,146.0,19.0
2016,2,155.0,205.0,155.0,13.0
2016,3,190.0,206.0,166.0,19.0
2016,4,155.0,195.0,161.0,15.0
2016,5,183.0,171.0,165.0,18.0
2016,6,229.0,202.0,165.0,17.0
2016,7,141.0,161.0,150.0,22.0
2016,8,176.0,149.0,160.0,24.0
2016,9,173.0,225.0,184.0,21.0
2016,10,162.0,201.0,177.0,16.0
2016,11,225.0,203.0,195.0,16.0
2016,12,178.0,138.0,149.0,17.0
2017,1,183.0,202.0,172.0,18.0
2017,2,180.0,194.0,198.0,18.0
2017,3,195.0,202.0,215.0,18.0
2017,4,156.0,176.0,156.0,14.0
2017,5,190.0,199.0,164.0,15.0
2017,6,173.0,171.0,173.0,12.0
2017,7,156.0,159.0,127.0,15.0
2017,8,114.0,119.0,125.0,9.0
2017,9,0.0,0.0,0.0,0.0
2017,10,0.0,0.0,0.0,0.0
2017,11,0.0,0.0,0.0,0.0
2017,12,0.0,0.0,0.0,0.0
2018,1,0.0,0.0,0.0,0.0
2018,2,0.0,0.0,0.0,0.0
2018,3,0.0,0.0,0.0,0.0
2018,4,0.0,0.0,0.0,0.0
2018,5,0.0,0.0,0.0,0.0
2018,6,0.0,0.0,0.0,0.0
2018,7,0.0,0.0,0.0,0.0
2018,8,0.0,0.0,0.0,0.0
2018,9,0.0,0.0,0.0,0.0
2018,10,0.0,0.0,0.0,0.0
2018,11,0.0,0.0,0.0,0.0
2018,12,0.0,0.0,0.0,0.0
2019,1,0.0,0.0,0.0,0.0
2019,2,0.0,0.0,0.0,0.0
2019,3,0.0,0.0,0.0,0.0
2019,4,0.0,0.0,0.0,0.0
2019,5,0.0,0.0,0.0,0.0
2019,6,0.0,0.0,0.0,0.0
2019,7,0.0,0.0,0.0,0.0
2019,8,0.0,0.0,0.0,0.0
2019,9,0.0,0.0,0.0,0.0
2019,10,0.0,0.0,0.0,0.0
2019,11,0.0,0.0,0.0,0.0
2019,12,0.0,0.0,0.0,0.0
2020,1,0.0,0.0,0.0,0.0
2020,2,0.0,0.0,0.0,0.0
2020,3,0.0,0.0,0.0,0.0
2020,4,0.0,0.0,0.0,0.0
2020,5,0.0,0.0,0.0,0.0
2020,6,0.0,0.0,0.0,0.0
2020,7,0.0,0.0,0.0,0.0
2020,8,0.0,0.0,0.0,0.0
2020,9,0.0,0.0,0.0,0.0
2020,10,0.0,0.0,0.0,0.0
2020,11,0.0,0.0,0.0,0.0
2020,12,0.0,0.0,0.0,0.0
2021,1,0.0,0.0,0.0,0.0
2021,2,0.0,0.0,0.0,0.0
2021,3,0.0,0.0,0.0,0.0
2021,4,0.0,0.0,0.0,0.0
2021,5,0.0,0.0,0.0,0.0
2021,6,0.0,0.0,0.0,0.0
2021,7,0.0,0.0,0.0,0.0
2021,8,0.0,0.0,0.0,0.0
2021,9,0.0,0.0,0.0,0.0
