device cuda
Reading Train, Test, Val
Encoding Labels
Data prep
Defining Model
The model has 3,679,747 trainable parameters
Start model training
Epoch: 41 | Epoch Time: 0m 26s
	Train Loss: 0.114 | Train Acc: 94.63%
	 Val. Loss: 1.075 | Val. F1-macro: 74.27%
Epoch: 42 | Epoch Time: 0m 26s
	Train Loss: 0.112 | Train Acc: 95.26%
	 Val. Loss: 1.089 | Val. F1-macro: 73.28%
Epoch: 43 | Epoch Time: 0m 26s
	Train Loss: 0.100 | Train Acc: 95.57%
	 Val. Loss: 1.157 | Val. F1-macro: 71.97%
Epoch: 44 | Epoch Time: 0m 26s
	Train Loss: 0.111 | Train Acc: 94.70%
	 Val. Loss: 1.095 | Val. F1-macro: 72.16%
Epoch: 45 | Epoch Time: 0m 26s
	Train Loss: 0.101 | Train Acc: 95.23%
	 Val. Loss: 1.102 | Val. F1-macro: 73.56%
Epoch: 46 | Epoch Time: 0m 26s
	Train Loss: 0.093 | Train Acc: 95.19%
	 Val. Loss: 1.215 | Val. F1-macro: 73.27%
Epoch: 47 | Epoch Time: 0m 26s
	Train Loss: 0.089 | Train Acc: 95.27%
	 Val. Loss: 1.242 | Val. F1-macro: 73.15%
Epoch: 48 | Epoch Time: 0m 26s
	Train Loss: 0.088 | Train Acc: 95.96%
	 Val. Loss: 1.330 | Val. F1-macro: 70.93%
Epoch: 49 | Epoch Time: 0m 26s
	Train Loss: 0.102 | Train Acc: 95.24%
	 Val. Loss: 1.206 | Val. F1-macro: 73.11%
Epoch: 50 | Epoch Time: 0m 26s
	Train Loss: 0.098 | Train Acc: 95.90%
	 Val. Loss: 1.184 | Val. F1-macro: 71.81%
Epoch: 51 | Epoch Time: 0m 26s
	Train Loss: 0.093 | Train Acc: 95.73%
	 Val. Loss: 1.240 | Val. F1-macro: 71.11%
Epoch: 52 | Epoch Time: 0m 26s
	Train Loss: 0.094 | Train Acc: 95.60%
	 Val. Loss: 1.080 | Val. F1-macro: 72.81%
Epoch: 53 | Epoch Time: 0m 26s
	Train Loss: 0.083 | Train Acc: 96.22%
	 Val. Loss: 1.232 | Val. F1-macro: 70.37%
Epoch: 54 | Epoch Time: 0m 26s
	Train Loss: 0.087 | Train Acc: 96.09%
	 Val. Loss: 1.217 | Val. F1-macro: 72.32%
Epoch: 55 | Epoch Time: 0m 26s
	Train Loss: 0.086 | Train Acc: 96.14%
	 Val. Loss: 1.278 | Val. F1-macro: 74.54%
Epoch: 56 | Epoch Time: 0m 26s
	Train Loss: 0.091 | Train Acc: 95.63%
	 Val. Loss: 1.205 | Val. F1-macro: 74.44%
Epoch: 57 | Epoch Time: 0m 26s
	Train Loss: 0.090 | Train Acc: 95.35%
	 Val. Loss: 1.203 | Val. F1-macro: 73.13%
Epoch: 58 | Epoch Time: 0m 26s
	Train Loss: 0.075 | Train Acc: 96.18%
	 Val. Loss: 1.199 | Val. F1-macro: 72.32%
Epoch: 59 | Epoch Time: 0m 26s
	Train Loss: 0.084 | Train Acc: 95.67%
	 Val. Loss: 1.418 | Val. F1-macro: 72.47%
Epoch: 60 | Epoch Time: 0m 26s
	Train Loss: 0.088 | Train Acc: 96.01%
	 Val. Loss: 1.245 | Val. F1-macro: 73.91%
Epoch: 61 | Epoch Time: 0m 26s
	Train Loss: 0.077 | Train Acc: 96.25%
	 Val. Loss: 1.396 | Val. F1-macro: 73.52%
Epoch: 62 | Epoch Time: 0m 26s
	Train Loss: 0.074 | Train Acc: 96.45%
	 Val. Loss: 1.408 | Val. F1-macro: 73.17%
Epoch: 63 | Epoch Time: 0m 26s
	Train Loss: 0.082 | Train Acc: 96.15%
	 Val. Loss: 1.341 | Val. F1-macro: 71.39%
Epoch: 64 | Epoch Time: 0m 26s
	Train Loss: 0.075 | Train Acc: 96.29%
	 Val. Loss: 1.198 | Val. F1-macro: 73.15%
Epoch: 65 | Epoch Time: 0m 26s
	Train Loss: 0.072 | Train Acc: 96.29%
	 Val. Loss: 1.322 | Val. F1-macro: 72.19%
Epoch: 66 | Epoch Time: 0m 26s
	Train Loss: 0.075 | Train Acc: 96.14%
	 Val. Loss: 1.378 | Val. F1-macro: 73.56%
Epoch: 67 | Epoch Time: 0m 26s
	Train Loss: 0.078 | Train Acc: 96.33%
	 Val. Loss: 1.399 | Val. F1-macro: 72.37%
Epoch: 68 | Epoch Time: 0m 26s
	Train Loss: 0.085 | Train Acc: 95.96%
	 Val. Loss: 1.198 | Val. F1-macro: 74.57%
Epoch: 69 | Epoch Time: 0m 26s
	Train Loss: 0.077 | Train Acc: 96.29%
	 Val. Loss: 1.337 | Val. F1-macro: 73.08%
Epoch: 70 | Epoch Time: 0m 26s
	Train Loss: 0.075 | Train Acc: 96.30%
	 Val. Loss: 1.236 | Val. F1-macro: 72.36%
Epoch: 71 | Epoch Time: 0m 26s
	Train Loss: 0.077 | Train Acc: 96.44%
	 Val. Loss: 1.255 | Val. F1-macro: 73.61%
Epoch: 72 | Epoch Time: 0m 26s
	Train Loss: 0.063 | Train Acc: 96.81%
	 Val. Loss: 1.485 | Val. F1-macro: 72.92%
Epoch: 73 | Epoch Time: 0m 26s
	Train Loss: 0.073 | Train Acc: 95.91%
	 Val. Loss: 1.504 | Val. F1-macro: 72.80%
Epoch: 74 | Epoch Time: 0m 26s
	Train Loss: 0.070 | Train Acc: 96.28%
	 Val. Loss: 1.258 | Val. F1-macro: 73.08%
Epoch: 75 | Epoch Time: 0m 26s
	Train Loss: 0.080 | Train Acc: 96.14%
	 Val. Loss: 1.358 | Val. F1-macro: 73.79%
Epoch: 76 | Epoch Time: 0m 26s
	Train Loss: 0.076 | Train Acc: 96.20%
	 Val. Loss: 1.379 | Val. F1-macro: 73.41%
Epoch: 77 | Epoch Time: 0m 26s
	Train Loss: 0.066 | Train Acc: 96.84%
	 Val. Loss: 1.303 | Val. F1-macro: 73.54%
Epoch: 78 | Epoch Time: 0m 26s
	Train Loss: 0.068 | Train Acc: 96.55%
	 Val. Loss: 1.506 | Val. F1-macro: 72.87%
Epoch: 79 | Epoch Time: 0m 26s
	Train Loss: 0.065 | Train Acc: 96.33%
	 Val. Loss: 1.422 | Val. F1-macro: 72.59%
Epoch: 80 | Epoch Time: 0m 26s
	Train Loss: 0.077 | Train Acc: 96.19%
	 Val. Loss: 1.307 | Val. F1-macro: 74.63%
